transaction_id|transaction_date|transaction_time|transaction_qty|store_id|store_location|product_id|unit_price|product_description
3481|2023-01-07|09:44:57|1|8|Hell's Kitchen|1|18.00|Organic Brazilian Coffee Beans
3866|2023-01-08|07:30:17|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
3971|2023-01-08|09:13:06|2|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
4329|2023-01-08|17:48:46|1|3|Astoria|1|18.00|Organic Brazilian Coffee Beans
4573|2023-01-09|08:57:44|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
5393|2023-01-10|12:45:47|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
6999|2023-01-13|10:31:40|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
7556|2023-01-14|10:02:07|1|8|Hell's Kitchen|1|18.00|Organic Brazilian Coffee Beans
7917|2023-01-15|07:27:34|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
8376|2023-01-15|14:34:34|1|3|Astoria|1|18.00|Organic Brazilian Coffee Beans
8538|2023-01-16|06:47:40|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
10770|2023-01-19|15:18:36|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
11305|2023-01-20|15:01:52|1|3|Astoria|1|18.00|Organic Brazilian Coffee Beans
11466|2023-01-21|07:08:18|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
14401|2023-01-26|07:53:09|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
15180|2023-01-27|10:57:37|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
16608|2023-01-30|10:12:04|1|8|Hell's Kitchen|1|18.00|Organic Brazilian Coffee Beans
17095|2023-01-31|10:01:12|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
17122|2023-01-31|10:31:40|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
20867|2023-02-07|09:44:57|1|8|Hell's Kitchen|1|18.00|Organic Brazilian Coffee Beans
21254|2023-02-08|07:30:17|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
21439|2023-02-08|10:18:15|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
22457|2023-02-10|07:17:46|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
22768|2023-02-10|10:52:37|1|8|Hell's Kitchen|1|18.00|Organic Brazilian Coffee Beans
22838|2023-02-10|12:45:47|1|5|Lower Manhattan|1|18.00|Organic Brazilian Coffee Beans
